date,price_Bangchak,price_PTT,price_Shell,effective_date
2024-01-26,36.35,36.35,37.05,23 Jan 05:00
2024-01-27,36.85,36.85,37.05,25 Jan 05:00
2024-01-28,37.25,37.25,37.05,27 Jan 05:00
2024-01-29,37.25,37.25,37.05,27 Jan 05:00
2024-01-30,37.25,37.25,37.75,27 Jan 05:00
2024-01-31,37.25,37.25,37.75,27 Jan 05:00
2024-02-01,37.55,37.55,38.05,31 Jan 05:00
2024-02-02,37.55,37.55,38.05,31 Jan 05:00
2024-02-03,37.55,37.55,37.85,31 Jan 05:00
2024-02-04,37.55,37.55,37.85,31 Jan 05:00
2024-02-05,37.55,37.55,37.85,31 Jan 05:00
2024-02-06,37.55,37.55,37.85,31 Jan 05:00
2024-02-07,37.55,37.55,37.85,31 Jan 05:00
2024-02-08,37.55,37.55,37.85,31 Jan 05:00
2024-02-09,37.55,37.55,37.85,31 Jan 05:00
2024-02-10,37.55,37.55,37.85,31 Jan 05:00
2024-02-11,37.55,37.55,37.85,31 Jan 05:00
2024-02-12,37.55,37.55,37.85,31 Jan 05:00
2024-02-13,37.55,37.55,37.85,31 Jan 05:00
2024-02-14,37.95,37.95,38.25,13 Feb 05:00
2024-02-15,37.95,37.95,38.55,13 Feb 05:00
2024-02-16,37.95,37.95,38.55,13 Feb 05:00
2024-02-17,38.35,38.35,38.65,16 Feb 05:00
2024-02-18,38.35,38.35,38.65,16 Feb 05:00
2024-02-19,38.35,38.35,38.65,16 Feb 05:00
2024-02-20,38.35,38.35,38.65,16 Feb 05:00
2024-02-21,38.05,38.05,38.35,20 Feb 05:00
2024-02-22,38.05,38.05,38.35,20 Feb 05:00
2024-02-23,38.05,38.05,38.35,20 Feb 05:00
2024-02-24,38.05,38.05,38.35,20 Feb 05:00
2024-02-25,38.05,38.05,38.35,20 Feb 05:00
2024-02-26,38.05,38.05,38.35,20 Feb 05:00
2024-02-27,38.05,38.05,38.55,20 Feb 05:00
2024-02-28,38.05,38.05,38.55,20 Feb 05:00
2024-02-29,38.05,38.45,38.55,28 Feb 05:00
2024-03-01,38.45,38.45,38.95,29 Feb 05:00
2024-03-02,38.45,38.45,38.75,29 Feb 05:00
2024-03-03,38.45,38.45,38.75,29 Feb 05:00
2024-03-04,38.45,38.45,38.75,29 Feb 05:00
2024-03-05,38.45,38.45,38.75,29 Feb 05:00
2024-03-06,38.15,38.15,38.45,05 Mar 05:00
2024-03-07,38.15,38.15,38.45,05 Mar 05:00
2024-03-08,37.85,37.85,38.15,07 Mar 05:00
2024-03-09,37.85,37.85,38.15,07 Mar 05:00
2024-03-10,37.85,37.85,38.35,07 Mar 05:00
2024-03-11,37.85,37.85,38.35,07 Mar 05:00
2024-03-12,37.85,37.85,38.35,07 Mar 05:00
2024-03-13,37.85,37.85,38.35,07 Mar 05:00
2024-03-14,37.85,37.85,38.35,07 Mar 05:00
2024-03-15,37.85,37.85,38.35,07 Mar 05:00
2024-03-16,37.85,37.85,38.35,07 Mar 05:00
2024-03-17,37.85,37.85,38.35,07 Mar 05:00
2024-03-18,37.85,37.85,38.35,07 Mar 05:00
2024-03-19,37.85,37.85,38.35,07 Mar 05:00
2024-03-20,38.25,38.25,38.75,19 Mar 05:00
2024-03-21,38.65,38.65,38.75,20 Mar 05:00
2024-03-22,38.65,38.65,38.75,20 Mar 05:00
2024-03-23,38.65,38.65,38.75,20 Mar 05:00
2024-03-24,38.65,38.65,38.75,20 Mar 05:00
2024-03-25,38.65,38.65,38.75,20 Mar 05:00
2024-03-26,38.65,38.65,38.75,20 Mar 05:00
2024-03-27,39.15,39.15,39.75,26 Mar 05:00
2024-03-28,39.15,39.15,39.75,26 Mar 05:00
2024-03-29,39.15,39.15,39.95,26 Mar 05:00
2024-03-30,39.15,39.15,40.15,26 Mar 05:00
2024-03-31,39.15,39.15,40.15,26 Mar 05:00
2024-04-01,39.15,39.15,40.15,26 Mar 05:00
2024-04-02,39.15,39.15,40.15,26 Mar 05:00
2024-04-03,39.15,39.15,40.15,26 Mar 05:00
2024-04-04,39.55,39.55,40.55,03 Apr 05:00
2024-04-05,39.95,39.95,40.95,04 Apr 05:00
2024-04-06,39.95,39.95,40.95,04 Apr 05:00
2024-04-07,39.95,39.95,40.95,06 Apr 05:00
2024-04-08,39.95,39.95,40.95,06 Apr 05:00
2024-04-09,39.95,39.95,40.95,06 Apr 05:00
2024-04-10,39.95,39.95,40.95,06 Apr 05:00
2024-04-11,39.95,39.95,40.95,06 Apr 05:00
2024-04-12,39.95,39.95,40.95,06 Apr 05:00
2024-04-13,39.95,39.95,40.95,06 Apr 05:00
2024-04-14,39.95,39.95,40.95,06 Apr 05:00
2024-04-15,39.95,39.95,40.95,06 Apr 05:00
2024-04-16,39.95,39.95,40.95,06 Apr 05:00
2024-04-17,39.95,39.95,40.95,06 Apr 05:00
2024-04-18,39.95,39.95,40.95,06 Apr 05:00
2024-04-19,39.95,40.35,40.95,18 Apr 05:00
2024-04-20,40.35,40.35,40.95,18 Apr 05:00
2024-04-21,40.35,40.35,40.95,18 Apr 05:00
2024-04-22,40.35,40.35,40.95,18 Apr 05:00
